message_body,is_important
Dear students the midterm exam for AI course is scheduled for next Tuesday at 10 AM.,1
Get 50% discount on all pepperoni pizzas at Tehran FastFood today only!,0
Dr. Fadaei has agreed to extend the deadline for homework 3 until Friday night.,1
Amazing trip to the North of Iran. Villa with beach view. Book now for a discount.,0
Please ensure you zip your project files before the final submission deadline.,1
Make money working from home. No experience needed. Easy job.,0
The grades for the second quiz have been uploaded to the portal.,1
There was a typo in question 4 of assignment 1. Please check the updated PDF.,1
Join us for the wildest party of the semester this Thursday night!,0
Remember that for every day your assignment is late you lose 10% of the grade.,1
Anyone interested in forming a study group for the final exam?,1
Guaranteed 7.0 score in IELTS. Sign up for our masterclass discount.,0
We will have a guest lecture on Neural Networks this Wednesday.,1
Congratulations! You have been selected to win a free iPhone 15. Click here.,0
The syllabus has been updated to include a new chapter on Decision Trees.,1
Last seats remaining for the Kish Island trip. 30% off.,0
My office hours are changing to Mondays 2 PM to 4 PM.,1
Please finalize your groups for the final project by the end of this week.,1
Buy one burger get one free. Exclusive discount code inside.,0
Professor I took the quiz but my grade is not listed on the website.,1
Don't forget to bring your ID card to the exam hall tomorrow.,1
Master Python in 30 days. Huge discount for students.,0
Dear TA I am having trouble with the third part of homework 2.,1
Tickets for the pop concert are selling out fast. Get yours now.,0
The AI class will be held in Room 205 instead of the usual auditorium.,1
Simple data entry job. Work from anywhere. Apply today.,0
Dr. Fadaei is looking for a research assistant for the NLP lab.,1
Enjoy your summer with our exclusive tour package to Turkey.,0
The deadline for the course feedback survey is tomorrow.,1
Click here to claim your free lunch voucher at the university cafeteria.,0
For phase 1 of the project you only need to implement the basic tree.,1
Become a pro guitarist in weeks. Discount on first 10 lessons.,0
The TAs will hold a review session for the exam on Saturday.,1
Tacos are half price this Tuesday. Don't miss out!,0
The portal is giving an error when I try to upload my assignment.,1
Nike and Adidas shoes at 70% discount. Limited time offer.,0
I have uploaded the slides from the last lecture to the drive.,1
Try this new diet pill and lose 10kg in a month. No exercise.,0
Your project proposal has been reviewed. Please see the comments.,1
You are invited to the rooftop party this weekend. Bring friends.,0
Your borrowed book Introduction to Algorithms is due tomorrow.,1
Fly to Europe for as low as 200 dollars. Book your trip now.,0
Due to the holiday the third quiz is cancelled.,1
Bitcoin is rising. Invest now and double your money. Secure your future.,0
Applications for the TA position are now open for next semester.,1
Best prices for laser services in the city. Summer discount.,0
If you want to appeal your midterm grade please fill out the form.,1
High performance gaming laptops on sale. Perfect for students.,0
Attendance in the lab session is mandatory for all students.,1
Watch these hilarious cat videos to brighten your day.,0
The final exam will be multiple choice and short answer questions.,1
Get fit for summer. 50% off annual gym membership.,0
The dataset for phase 2 of the project is now available for download.,1
Secret method to earn money online revealed. Click to learn more.,0
Professor can I get a 2 day extension on the assignment?,1
Rent a luxury villa for your next holiday trip. Best rates.,0
There will be no class this Sunday due to the conference.,1
Complete this survey and get two free movie tickets.,0
The solution key for homework 1 has been posted.,1
Crash course in French language. Special student discount.,0
The schedule for the final project presentations is attached.,1
Join us for a poker night at the dorms. Cash prizes.,0
Any student caught cheating in the exam will receive a zero.,1
Access the internet freely with our fast VPN. 80% discount.,0
I believe my answer to question 2 was correct. Please regrade.,1
Work as a lifeguard this summer. Good pay.,0
You need to buy the Artificial Intelligence: A Modern Approach textbook.,1
Clean your house in minutes with this magic spray. Order now.,0
Prepare for a short quiz on chapter 4 next session.,1
Romantic dinner for two at half price. Reserve your table.,0
I have to cancel my office hours today due to an emergency.,1
Apply for the exchange program in Germany. Scholarship available.,1
Order now and get free delivery on your first pizza.,0
The details for assignment 4 are listed in the document.,1
Join our team and become your own boss. Unlimited income.,0
Here is the grade distribution for the midterm exam.,1
Backpacking trip? Check out these cheap hostels.,0
You are invited to attend the master's thesis defense of Mr. Alavi.,1
Enter the raffle to win a brand new BMW.,0
You can earn extra points by participating in class discussions.,1
Relax with a full body massage. First session 50% off.,0
The course website will be down for maintenance tonight.,1
Earn money by typing documents. Simple assignment.,0
Dr. Yaghoubzadeh has an open PhD position in Machine Learning.,1
Try the most delicious kebab. Student discount available.,0
The exam will cover everything from lecture 1 to lecture 10.,1
Regain your hair with our advanced technology. Special offer.,0
Submissions after the deadline will not be graded.,1
Weekend trip to the Maranjab desert. Bonfire and music.,0
The recording of yesterday's lecture is now online.,1
Download thousands of English books for free.,0
I am looking for a partner for the AI project.,1
Sign up now and get $500 bonus to play slots.,0
The university will be closed next week for holidays.,1
Ray-Ban sunglasses at wholesale prices.,0
No calculators are allowed in the exam hall.,1
Drink this tea and burn fat while you sleep.,0
Students who missed the midterm can take the supplementary exam.,1
Follow this simple strategy to become a millionaire.,0
Please fill out the anonymous feedback form for the course.,1
The grades for quiz 1 are out. Check the portal.,1
Reminder that assignment 2 is due tomorrow night.,1
Phase 3 of the project involves building the UI.,1
Learn to code in 3 months. Job guarantee.,0
Special offer for students. 3 days in Kish.,0
The answer key for the midterm is attached.,1
Please email Dr. Fadaei regarding your absence.,1
I need help with the last question of the homework.,1
I have another exam at the same time. What should I do?,1
Come to the graduation party this Friday.,0
New jobs posted in your area. Apply now.,0
We have removed the chapter on Robotics from the syllabus.,1
Special offer on all t-shirts. Buy one get one free.,0
The final grade is 40% exam and 60% project.,1
10 days in Europe. Visit Paris Rome and Berlin.,0
I cannot upload my assignment. The link is broken.,1
Save money on your next meal. Print these coupons.,0
We have a guest speaker from Google today.,1
Can we please have a deadline extension for the project?,1
Complete the quiz to win a gaming laptop.,0

